option,systeme,strategie,F1,VP,FP,FN
A,Train Ticket,Vote majoritaire (≥2/3),1.0,135,0,0
A,Train Ticket,OR logique (≥1/3),1.0,135,0,0
A,Train Ticket,AND logique (=3/3),0.9328063241106719,118,0,17
A,Online Boutique,Vote majoritaire (≥2/3),0.9693251533742331,158,0,10
A,Online Boutique,OR logique (≥1/3),1.0,168,0,0
A,Online Boutique,AND logique (=3/3),0.7175572519083969,94,0,74
