option,strategie,F1,VP,FP,FN
A,Vote majoritaire (≥2/3),1.0,135,0,0
A,OR logique (≥1/3),1.0,135,0,0
A,AND logique (=3/3),0.9328063241106719,118,0,17
B,Vote majoritaire 2 niveaux,1.0,135,0,0
B,OR logique 2 niveaux,1.0,135,0,0
B,AND logique 2 niveaux,0.973384030418251,128,0,7
C,Vote strict (≥3/5),0.996282527881041,134,0,1
C,Vote souple (≥2/5),1.0,135,0,0
C,Pondéré F1,1.0,135,0,0
